iter	Passed	Remaining
0	65	78626
1	124	74443
2	173	69035
3	228	68436
4	283	67654
5	341	67947
6	397	67740
7	453	67498
8	511	67715
9	561	66848
10	617	66772
11	674	66739
12	729	66621
13	788	66799
14	845	66775
15	903	66862
16	960	66855
17	1017	66829
18	1066	66270
19	1116	65853
20	1175	65977
21	1232	66008
22	1290	66027
23	1339	65642
24	1394	65520
25	1451	65520
26	1499	65131
27	1547	64785
28	1603	64752
29	1659	64730
30	1715	64677
31	1774	64775
32	1830	64739
33	1887	64719
34	1944	64707
35	1991	64400
36	2053	64558
37	2111	64578
38	2169	64589
39	2228	64612
40	2282	64514
41	2338	64483
42	2396	64490
43	2449	64361
44	2505	64319
45	2564	64331
46	2615	64173
47	2672	64139
48	2722	63942
49	2773	63786
50	2832	63808
51	2891	63843
52	2951	63868
53	3007	63821
54	3063	63773
55	3111	63568
56	3163	63446
57	3221	63428
58	3265	63149
59	3314	62981
60	3373	62994
61	3427	62911
62	3485	62896
63	3534	62744
64	3592	62733
65	3649	62713
66	3696	62514
67	3741	62279
68	3793	62175
69	3841	62012
70	3898	61990
71	3953	61933
72	4007	61867
73	4068	61906
74	4125	61877
75	4186	61923
76	4246	61934
77	4304	61913
78	4360	61873
79	4416	61832
80	4470	61752
81	4528	61736
82	4583	61687
83	4645	61718
84	4693	61569
85	4756	61617
86	4813	61584
87	4863	61462
88	4924	61471
89	4993	61580
90	5055	61606
91	5109	61538
92	5153	61339
93	5208	61282
94	5262	61215
95	5317	61151
96	5371	61080
97	5429	61051
98	5483	60985
99	5539	60939
100	5596	60898
101	5656	60892
102	5712	60845
103	5767	60784
104	5817	60664
105	5864	60525
106	5917	60446
107	5973	60395
108	6028	60343
109	6075	60197
110	6134	60182
111	6190	60132
112	6243	60058
113	6298	59997
114	6356	59968
115	6402	59832
116	6453	59732
117	6508	59679
118	6560	59597
119	6618	59564
120	6665	59437
121	6731	59482
122	6782	59390
123	6833	59300
124	6897	59322
125	6948	59227
126	6986	59029
127	7044	58996
128	7104	58983
129	7166	58985
130	7223	58948
131	7281	58911
132	7330	58808
133	7388	58776
134	7438	58683
135	7490	58603
136	7546	58553
137	7605	58527
138	7655	58435
139	7714	58406
140	7768	58347
141	7822	58281
142	7872	58192
143	7926	58130
144	7981	58075
145	8040	58046
146	8097	58006
147	8146	57904
148	8204	57868
149	8270	57893
150	8322	57819
151	8375	57746
152	8421	57628
153	8477	57579
154	8537	57562
155	8595	57522
156	8655	57500
157	8708	57431
158	8765	57391
159	8821	57340
160	8879	57300
161	8942	57296
162	9003	57281
163	9052	57185
164	9117	57190
165	9173	57138
166	9239	57151
167	9300	57128
168	9357	57088
169	9417	57057
170	9463	56944
171	9512	56855
172	9570	56817
173	9626	56763
174	9683	56717
175	9739	56665
176	9789	56579
177	9853	56575
178	9914	56550
179	9969	56492
180	10027	56451
181	10082	56397
182	10137	56338
183	10190	56266
184	10250	56241
185	10308	56198
186	10364	56145
187	10411	56042
188	10458	55943
189	10523	55938
190	10580	55895
191	10639	55859
192	10699	55825
193	10745	55721
194	10805	55689
195	10871	55689
196	10917	55587
197	10978	55556
198	11020	55433
199	11072	55363
200	11112	55232
201	11165	55163
202	11227	55140
203	11289	55120
204	11343	55056
205	11402	55019
206	11456	54959
207	11515	54919
208	11577	54897
209	11624	54800
210	11673	54718
211	11732	54676
212	11788	54624
213	11827	54492
214	11882	54437
215	11934	54368
216	11980	54271
217	12056	54310
218	12119	54288
219	12171	54219
220	12215	54114
221	12265	54032
222	12318	53968
223	12389	53982
224	12439	53903
225	12488	53821
226	12541	53758
227	12590	53675
228	12638	53590
229	12698	53553
230	12757	53514
231	12808	53444
232	12855	53351
233	12918	53330
234	12978	53293
235	13035	53247
236	13089	53184
237	13146	53139
238	13188	53030
239	13229	52916
240	13275	52825
241	13334	52786
242	13388	52725
243	13438	52653
244	13492	52592
245	13544	52527
246	13604	52488
247	13664	52452
248	13712	52372
249	13769	52323
250	13820	52255
251	13883	52227
252	13939	52176
253	13987	52093
254	14033	52005
255	14084	51935
256	14132	51856
257	14191	51816
258	14251	51778
259	14298	51696
260	14366	51685
261	14410	51593
262	14471	51558
263	14532	51522
264	14585	51462
265	14639	51404
266	14686	51320
267	14731	51231
268	14790	51189
269	14844	51132
270	14894	51059
271	14953	51016
272	14996	50923
273	15052	50870
274	15111	50828
275	15160	50754
276	15210	50682
277	15271	50648
278	15318	50566
279	15380	50535
280	15432	50470
281	15476	50381
282	15525	50307
283	15587	50275
284	15643	50222
285	15695	50158
286	15753	50114
287	15813	50076
288	15874	50039
289	15928	49982
290	15976	49905
291	16029	49844
292	16077	49768
293	16120	49678
294	16172	49614
295	16221	49541
296	16277	49489
297	16341	49462
298	16396	49408
299	16452	49357
300	16506	49299
301	16564	49255
302	16610	49174
303	16668	49126
304	16723	49073
305	16778	49020
306	16835	48971
307	16879	48884
308	16942	48854
309	16993	48789
310	17040	48710
311	17089	48640
312	17151	48603
313	17203	48542
314	17258	48487
315	17313	48433
316	17363	48365
317	17406	48279
318	17475	48262
319	17521	48185
320	17577	48131
321	17635	48087
322	17693	48040
323	17738	47958
324	17797	47916
325	17849	47853
326	17903	47798
327	17958	47743
328	18015	47694
329	18054	47598
330	18114	47556
331	18173	47515
332	18227	47457
333	18272	47376
334	18317	47298
335	18381	47267
336	18432	47201
337	18493	47163
338	18543	47097
339	18599	47045
340	18656	46996
341	18707	46932
342	18765	46885
343	18810	46807
344	18864	46750
345	18915	46686
346	18956	46598
347	19009	46539
348	19065	46489
349	19122	46439
350	19178	46389
351	19219	46300
352	19264	46224
353	19323	46180
354	19385	46143
355	19441	46091
356	19501	46048
357	19553	45988
358	19600	45915
359	19655	45862
360	19702	45790
361	19745	45709
362	19799	45654
363	19857	45607
364	19905	45537
365	19956	45474
366	20005	45406
367	20063	45360
368	20123	45318
369	20180	45270
370	20232	45209
371	20279	45139
372	20322	45057
373	20380	45010
374	20425	44936
375	20470	44859
376	20522	44800
377	20572	44736
378	20629	44688
379	20668	44601
380	20722	44544
381	20776	44489
382	20818	44408
383	20879	44368
384	20943	44335
385	20996	44276
386	21050	44222
387	21113	44186
388	21172	44140
389	21221	44076
390	21283	44037
391	21334	43974
392	21390	43924
393	21452	43885
394	21503	43824
395	21558	43770
396	21617	43726
397	21674	43675
398	21730	43624
399	21786	43572
400	21844	43525
401	21902	43478
402	21949	43408
403	21991	43330
404	22041	43266
405	22089	43199
406	22141	43139
407	22197	43090
408	22260	43050
409	22309	42986
410	22357	42919
411	22402	42848
412	22456	42792
413	22506	42730
414	22559	42671
415	22617	42624
416	22661	42552
417	22710	42487
418	22771	42444
419	22826	42392
420	22879	42334
421	22927	42269
422	22980	42212
423	23024	42138
424	23072	42073
425	23133	42030
426	23191	41983
427	23235	41910
428	23287	41852
429	23332	41781
430	23397	41746
431	23447	41685
432	23499	41626
433	23552	41569
434	23608	41518
435	23673	41482
436	23721	41417
437	23777	41366
438	23837	41322
439	23900	41282
440	23957	41233
441	24017	41188
442	24071	41133
443	24120	41070
444	24172	41012
445	24231	40965
446	24279	40899
447	24325	40832
448	24384	40785
449	24443	40739
450	24483	40660
451	24532	40598
452	24598	40562
453	24656	40514
454	24708	40456
455	24769	40412
456	24830	40369
457	24884	40315
458	24938	40259
459	24997	40212
460	25043	40145
461	25101	40096
462	25158	40046
463	25204	39979
464	25259	39925
465	25309	39865
466	25362	39808
467	25407	39739
468	25455	39676
469	25503	39611
470	25552	39549
471	25609	39499
472	25674	39461
473	25739	39423
474	25791	39366
475	25841	39305
